title,caption,description,file_name
purgatorium1,on decommissioning an old shoe - 20 x 25 cm - photographic print from a 4x5 negative on fiberbase paper - edition of 5 + a.p.,,oldshoe.jpg
purgatorium2,it was an auspicious night for samer to harvest his persimmons - 20 x 25 cm - photographic print from a 4x5 negative on fiberbase paper - edition of 5 + a.p.,,persimmon.jpg
purgatorium3,ashes to ashes - 20 x 25 cm - photographic print from a 4x5 negative on fiberbase paper - edition of 5 + a.p.,,ashes.jpg
purgatorium4,heart pills - 20 x 25 cm - photographic print from a 4x5 negative on fiberbase paper - edition of 5 + a.p.,,pills.jpg
purgatorium5,bag full of nothing - 20 x 25 cm - photographic print from a 4x5 negative on fiberbase paper - edition of 5 + a.p.,,nothing.jpg
purgatorium6,pile of money - 20 x 25 cm - photographic print from a 4x5 negative on fiberbase paper - edition of 5 + a.p.,,money.jpg
purgatorium7,fumando espero - 20 x 25 cm - photographic print from a 4x5 negative on fiberbase paper - edition of 5 + a.p.,,fumando.jpg
purgatorium8,bothaina's lunch - 20 x 25 cm - photographic print from a 4x5 negative on fiberbase paper - edition of 5 + a.p.,,lunch.jpg
